symbol,atomic_num,period,group,vdw_radius,vdw_coeff,electronegativity,hardness,is_metal,is_halogen
H,1,1,1,1.443,0.044,4.32,6.21,false,false
He,2,1,18,1.181,0.056,6.14,8.8,false,false
Li,3,2,1,1.2255,0.025,0.06,2.23,true,false
Be,4,2,2,1.3725,0.085,1.42,4.59,true,false
B,5,2,13,2.0415,0.18,1.6,3.8,false,false
C,6,2,14,1.9255,0.105,3.69,4.68,false,false
N,7,2,15,1.83,0.069,4.38,7.06,false,false
O,8,2,16,1.75,0.06,4.8,5.55,false,false
F,9,2,17,1.682,0.05,7.31,6.14,false,true
Ne,10,2,18,1.6215,0.042,5.55,9.06,false,false
Na,11,3,1,1.4915,0.03,-0.03,2.06,true,false
Mg,12,3,2,1.5105,0.111,0.78,3.98,true,false
Al,13,3,13,2.2495,0.505,0.35,2.6,true,false
Si,14,3,14,2.1475,0.402,2.05,3.28,false,false
P,15,3,15,2.0735,0.305,2.69,4.73,false,false
S,16,3,16,2.0175,0.274,3.31,3.83,false,false
Cl,17,3,17,1.9735,0.227,5.37,4.47,false,true
Ar,18,3,18,1.934,0.185,4.58,7.74,false,false
K,19,4,1,1.906,0.035,-0.99,2.27,true,false
Ca,20,4,2,1.6995,0.238,0.04,3.19,true,false
Sc,21,4,3,1.6475,0.019,0.36,3.17,true,false
Ti,22,4,4,1.5875,0.017,0.55,2.93,true,false
V,23,4,5,1.572,0.016,0.73,3.23,true,false
Cr,24,4,6,1.5115,0.015,0.91,3.37,true,false
Mn,25,4,7,1.4805,0.013,-0.21,3.95,true,false
Fe,26,4,8,1.456,0.013,1.35,3.62,true,false
Co,27,4,9,1.436,0.014,1.5,3.33,true,false
Ni,28,4,10,1.417,0.015,1.7,3.34,true,false
Cu,29,4,11,1.7475,0.005,1.31,3.82,true,false
Zn,30,4,12,1.3815,0.124,1.0,5.79,true,false
Ga,31,4,13,2.1915,0.415,0.15,3.0,true,false
Ge,32,4,14,2.14,0.379,1.69,3.27,false,false
As,33,4,15,2.115,0.309,2.49,4.53,false,false
Se,34,4,16,2.1025,0.291,3.09,3.86,false,false
Br,35,4,17,2.0945,0.251,4.73,4.22,false,true
Kr,36,4,18,2.0705,0.22,3.4,7.67,false,false
Rb,37,5,1,2.057,0.04,-0.79,1.9,true,false
Sr,38,5,2,1.8205,0.235,-0.18,3.11,true,false
Y,39,5,3,1.6725,0.072,0.28,3.14,true,false
Zr,40,5,4,1.562,0.069,0.56,2.87,true,false
Nb,41,5,5,1.5825,0.059,0.79,3.27,true,false
Mo,42,5,6,1.526,0.056,0.9,3.51,true,false
Tc,43,5,7,1.499,0.048,0.61,3.68,true,false
Ru,44,5,8,1.4815,0.056,0.92,3.7,true,false
Rh,45,5,9,1.4645,0.053,0.75,3.88,true,false
Pd,46,5,10,1.4495,0.048,1.72,4.07,true,false
Ag,47,5,11,1.574,0.036,1.31,3.58,true,false
Cd,48,5,12,1.424,0.228,0.83,5.4,true,false
In,49,5,13,2.2315,0.599,-0.22,3.09,true,false
Sn,50,5,14,2.196,0.567,1.27,3.09,true,false
Sb,51,5,15,2.21,0.449,1.95,3.96,false,false
Te,52,5,16,2.235,0.398,2.58,3.62,false,false
I,53,5,17,2.25,0.339,3.82,3.78,false,true
Xe,54,5,18,2.202,0.332,2.6,6.78,false,false
Cs,55,6,1,2.2585,0.045,-1.35,1.8,true,false
Ba,56,6,2,1.8515,0.364,-0.36,2.75,true,false
Lu,71,6,3,1.82,0.041,-0.24,3.25,true,false
Hf,72,6,4,1.5705,0.072,0.37,3.77,true,false
Ta,73,6,5,1.585,0.081,1.14,3.12,true,false
W,74,6,6,1.5345,0.067,1.62,3.58,true,false
Re,75,6,7,1.477,0.066,1.07,3.72,true,false
Os,76,6,8,1.56,0.037,1.95,3.67,true,false
Ir,77,6,9,1.42,0.073,2.36,3.8,true,false
Pt,78,6,10,1.377,0.08,2.83,3.51,true,false
Au,79,6,11,1.6465,0.039,3.01,3.58,true,false
Hg,80,6,12,1.3525,0.385,1.94,5.78,true,false
Tl,81,6,13,2.1735,0.68,0.07,3.09,true,false
Pb,82,6,14,2.1485,0.663,0.86,3.44,true,false
Bi,83,6,15,2.185,0.518,1.22,3.33,true,false
Po,84,6,16,2.3545,0.325,2.05,3.6,false,false
At,85,6,17,2.375,0.284,2.98,3.56,false,false
Rn,86,6,18,2.3825,0.248,1.86,6.05,true,false
